"task_id","workstream","module","chapter","current_strength","knowledge_gap","explanation_gap","target_engineering_level","target_research_level","target_finance_level","action","priority","prerequisites","expected_artifact","acceptance","canonical_sources","status"
"W0-001","状态与结论","P01","Worker 数量与综合实验记录","固定 fixture 有可复算数值","单次结果不足以支持统计显著性","用显著措辞制造外推错觉","E1","R1","不适用","小修全文同类表述并绑定证据范围","P0","无","措辞检索清单;修订后的实验记录;README 与简历同步差异","全库不再把单次 fixture 写成显著;多 seed 结论只引用 RQ01 对应区间","https://www.itl.nist.gov/div898/handbook/","completed"
"W0-002","状态与结论","金融路线","完成声明与状态表","路线结构和入口齐全","F00/F01/F03/F04/F06 仍为 draft/unverified","结构完成被写成可自学性合格","不适用","不适用","F0-F2","重写完成口径并分轴记录状态","P0","W0-003","路线状态对照表;修订后的金融路线声明","路线声明与状态表逐模块一致;不再由结构齐备推出内容合格","https://developers.google.com/tech-writing/one/documents","completed"
"W0-003","状态与结论","全库","状态模型","已有 content/implementation/verification 三列","缺 instructional-ready 与 learner-validated 独立轴","reference 通过容易被误读为教材或学习者完成","不适用","不适用","不适用","新增状态词典并迁移看板","P0","无","状态词典;迁移后的状态表;冲突检查规则","content-reviewed;reference-verified;instructional-ready;learner-validated 可独立判定且无隐含升级","https://kubernetes.io/docs/contribute/style/page-content-types/","completed"
"W0-004","安全","M03/E03/P03","M03 第 7-8 章及 RAG 请求","已认识检索前过滤原则","客户端仍可在教材请求中自报 user_id 和 permission_group","内存列表过滤不能证明存储检索阶段强制 ACL","E2","不适用","不适用","重写身份与检索授权契约","P0","M02 principal 基础","server-owned principal schema;授权查询;负向安全测试","未授权文档不进入候选集;打分集;缓存或 prompt;请求体不能覆盖 principal","https://owasp.org/www-project-top-10-for-large-language-model-applications/;https://owasp.org/API-Security/","completed"
"W0-005","安全","M04/E04","M04 第 6/9 章;E04-01/E04-03","审批设计包含 principal;哈希;CAS 与 outbox","实验仍接受客户端身份;权限和 reviewer_id;拒绝状态冲突","强设计与弱实验会教出两套安全模型","E2","不适用","不适用","统一身份;审批对象;状态和错误码","P0","W0-004","E04 契约表;状态机;审批负向测试","审批人仅来自 principal;过期或重复审批被拒;教材与实验状态完全一致","https://owasp.org/API-Security/;https://www.nist.gov/itl/ai-risk-management-framework","completed"
"W0-006","可靠性","M06/E06","SQLite reference complete_task/fail_task","已有 lease;heartbeat 与 CAS","finalize 不校验 owner;claim version 或 fencing token","正文未追踪旧 worker 如何覆盖新 worker 结果","E2","不适用","不适用","修复实现并补 stale-owner 教学反例","P0","数据库事务与 CAS 基础","fencing token 设计;迁移;旧 owner complete/fail 测试","lease 过期重领后旧 worker 的 complete/fail 均失败;重复 finalize 幂等或明确拒绝","https://www.postgresql.org/docs/current/transaction-iso.html","completed"
"W0-007","可靠性","P03/M06/E07","Redis queue 与 worker claim","已有 outbox 和 running lease reconciliation","BLPOP 在 DB claim 前破坏性删除消息","教材未画出 pop 后 claim 前崩溃窗口","E2","不适用","不适用","改为可恢复领取并补 crash-point 测试","P0","W0-006","Redis Streams 或 processing-list 实现;消息状态图;故障测试","pop 后任意 crash point 均不丢任务;重复交付由幂等处理;至少一次声明与证据一致","https://redis.io/docs/latest/develop/data-types/streams/;https://www.rabbitmq.com/docs/reliability","completed"
"W0-008","正确性","M06/E06","E06-02/E06-03","正文已有较强 outbox 与权限缓存原则","publish/state 顺序;collection_not_found 重试分类和权限缓存输入互相冲突","实验步骤掩盖了原子边界和授权快照来源","E2","不适用","不适用","重写实验契约与故障表","P0","W0-004;W0-007","统一时序图;失败分类表;缓存 key 负向测试","正文;E06;P03 对状态顺序和重试分类唯一;客户端不能改变授权缓存维度","https://microservices.io/patterns/data/transactional-outbox.html;https://owasp.org/API-Security/","completed"
"W0-009","发布范围","M10/E10","模块入口;第 6/8 章;E10-01 至 E10-03","指标和 KV 数学较强;合成 simulator 可执行","真实 vLLM blocked;无 Triton 实验","模块名容易把工具定位和模拟实验误读为 serving 工程能力","E1 或 E2","不适用","不适用","完成真实实验或降级模块名称与章节类型","P0","独立 Linux/WSL;GPU;模型与磁盘预算","范围决策记录;修订入口;真实 benchmark 或 design-note 标签","标题;目标;实验和状态证据一致;无 GPU 合成结果不表述为 vLLM/Triton 工程验证","https://docs.vllm.ai/;https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/","completed"
"W0-010","路线对齐","全库","路线承诺与首次教学覆盖","22 份入口已标内容类型","CAPM;Markowitz;statsmodels;收益率曲线;分布式系统等承诺高于正文","路线关键词没有指向承担首次教学的章节","不适用","不适用","不适用","建立 promise-to-chapter 映射并收缩无证据承诺","P0","W0-003","路线承诺矩阵;断链报告","每个必学关键词指向 instructional 章和验收;design-note 不计首次覆盖","https://docs.github.com/en/contributing/style-guide-and-content-model","completed"
"PED-001","教学一致性","全库","所有 instructional 章","章节类型已归类","大量围栏角色不明;M05 有 509 个未标围栏","读者无法区分可运行程序;片段;输出和伪代码","不适用","不适用","不适用","批量人工标注围栏角色并补运行上下文","P1","Wave 0 契约稳定","围栏角色清单;校验器规则;迁移记录","新增和高风险既有围栏均标 runnable/fragment/pseudocode/config/command/output/expected-error","https://developers.google.com/style/code-samples","planned"
"PED-002","教学一致性","M04/M05/M08/M10","练习与答案","存在较多完整参考实现","答案紧贴题面;独立练习退化为阅读答案","缺少未见输入和最小提示层","不适用","不适用","不适用","分离 worked example;独立练习与答案册","P1","模块契约稳定","独立题面;提示;答案册;答案映射","正文不暴露独立任务完整答案;练习至少改变输入或约束;验收可机器或人工判定","https://docs.github.com/en/contributing/style-guide-and-content-model/tutorial-content-type","planned"
"PED-003","教学一致性","全库","高风险教学章","模块末尾已有来源索引","166 个教学章仅 51 个显式章内来源","安全;统计;版本和金融公式缺 claim-source 近邻映射","不适用","不适用","不适用","补章内 canonical source 与版本边界","P1","无","claim-source 台账;章内来源区块","P0/P1 技术主张均可追溯到原始标准;官方文档或原始论文;聚合博客不作唯一依据","https://kubernetes.io/docs/contribute/style/content-guide/","planned"
"PED-004","教学一致性","全库","worked example","78 个教学章已有显式示例","多数表格和架构描述缺端到端固定输入","只给最终代码或字段表;不展示中间状态和判断过程","不适用","不适用","不适用","为核心主章补完整推演","P1","Wave 0 后","固定输入;中间状态;实际输出;解释;反例","核心决策章至少一条可复算 walkthrough;输出与解释分开;不使用未声明数据","https://developers.google.com/tech-writing/two/sample-code","planned"
"PED-005","教学一致性","全库","反例与故障链","117 个教学章有反例信号","不少反例只列错误名","缺现象;根因;修复;回归和清理","不适用","不适用","不适用","把列表型错误改为机制型失败链","P1","PED-004","故障注入步骤;expected-error;修复后输出","高风险主章至少一个可触发反例;修复前后观察值可比较","https://docs.github.com/en/contributing/style-guide-and-content-model/troubleshooting-content-type","planned"
"PED-006","教学一致性","全库","练习与验收","115 章有练习;129 章有验收信号","部分题目只要求复述或抄写","工程和研究能力没有产物型证据","不适用","不适用","不适用","补预测;变式;诊断;比较和修复型任务","P1","PED-002;PED-004","题型蓝图;章级验收表;rubric","每个主章至少一个未见输入任务;验收检查 artifact 或不变量而非仅能解释","https://learn.microsoft.com/en-us/training/support/learn-content-types","planned"
"PED-007","教学一致性","M05 及其他长章","349 至 845 行章节","主题资料完整","概念;答案;参考;扩展设计混在同一学习路径","认知负荷高且难以定位返回点","不适用","不适用","不适用","按单一学习任务渐进拆分","P2","PED-001;PED-002","拆分 manifest;重定向索引;迁移校验","标题锚点和引用无损;每个主章只承担一个核心决策;答案/reference 独立","https://docs.github.com/en/contributing/writing-for-github-docs/best-practices-for-github-docs","in-progress"
"PED-008","教学一致性","全库","术语;图示;命令与清理","入口和内容类型已统一","跨模块 principal;task state;latency 指标等仍可能漂移","图表和命令若缺等价说明或 cleanup 会阻断自学","不适用","不适用","不适用","建立术语表;契约表;图示与 cleanup 门禁","P2","Wave 0 后","术语清单;跨模块 schema;图示替代文本;cleanup 检查","同一术语只有一个规范定义;有状态实验均提供清理;图示关键信息有文本等价物","https://kubernetes.io/docs/contribute/style/style-guide/","planned"
"M00-001","基础工程","M00","第 2/5 章;新增 OS 基础章","Shell;路径;日志入门可保留","进程;线程;PID;退出码;信号;环境变量;文件权限不足","命令示例未连接到服务启动和故障定位","E1","不适用","不适用","新增进程;信号与权限教学闭环","P1","无","signal demo;权限失败实验;进程树观察记录","能启动;终止;捕获 SIGTERM;解释退出码;修复权限错误并清理进程","https://man7.org/linux/man-pages/;https://docs.python.org/3.13/library/signal.html","completed"
"M00-002","基础工程","M00","第 7 章 HTTP/JSON","MockTransport 正负链路较强","DNS;TCP;TLS;端口;socket;HTTP 分层不足","成功请求没有展示解析;连接;握手和应用错误差异","E1","不适用","不适用","扩写请求路径并加入分层故障实验","P1","M00-001","DNS/connection/TLS/HTTP 故障矩阵;抓包或诊断输出","能根据错误证据区分四层故障;不把 500 当网络不可达","https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview;https://www.rfc-editor.org/rfc/rfc9110","completed"
"M00-003","基础工程","M00","第 5/9 章","已有日志;pytest 和学习检查","CPU;内存;磁盘;端口占用和路径诊断不足","检查题偏复述;缺真实故障组合","E1","不适用","不适用","新增资源与服务诊断 capstone","P1","M00-001;M00-002","broken-service fixture;诊断日志;修复报告","从未知故障开始定位端口;权限;依赖和资源问题;修复后测试通过","https://learn.microsoft.com/en-us/sysinternals/","planned"
"M01-001","Python 工程","M01","第 5/12 章","模块结构与 CLI 已有闭环","pyproject;安装包;依赖声明与锁定不足","从源码目录运行掩盖导入和环境漂移","E2-","不适用","不适用","补 packaging 与可重建环境","P1","M00 环境基线","pyproject.toml;lock/constraints;wheel;clean-env smoke","空环境可按文档安装;CLI 从任意工作目录运行;版本可追溯","https://packaging.python.org/en/latest/tutorials/packaging-projects/","planned"
"M01-002","Python 工程","M01","第 4/9/11 章","类型;pytest 与坏味道已有入门","Ruff;静态类型;格式化;测试分层与 CI 入口不足","只讲工具用途;没有失败到修复闭环","E2-","不适用","不适用","补 lint;type;test 质量门禁","P1","M01-001","ruff 配置;type checker 配置;故意失败样例;统一命令","lint;type;unit 均可独立失败并给出可解释诊断;统一入口通过","https://docs.astral.sh/ruff/;https://docs.python.org/3.13/library/typing.html;https://docs.pytest.org/","planned"
"M01-003","Python 工程","M01","新增并发与 asyncio 章","同步函数和 API 边界已出现","thread;process;asyncio;阻塞 I/O;取消与超时缺失","后续 FastAPI/worker 使用 async 但前置心智模型不足","E2-","不适用","不适用","新增并发选择与取消实验","P1","M00-001;M01 函数和异常","I/O benchmark;event-loop blocking 反例;cancel/timeout 测试","能选择 thread/process/async;检测 event loop 阻塞;取消后释放资源","https://docs.python.org/3.13/library/asyncio.html;https://docs.python.org/3.13/library/concurrent.futures.html","completed"
"M01-004","Python 工程","M01","新增 profiling 章","已有计时和日志概念","cProfile;采样;内存观察;benchmark 误区缺失","优化建议没有基于 profile 证据","E2-","不适用","不适用","新增 measure-first 性能实验","P2","M01-002","profile artifact;before/after benchmark;噪声说明","能定位热点;区分单次波动和稳定变化;不由微基准外推系统容量","https://docs.python.org/3.13/library/profile.html","planned"
"M02-001","服务工程","M02","第 5/6/9 章","REST;Pydantic;分层和 API 测试已有闭环","dependency injection;middleware;request/trace ID 缺失","一次请求如何穿过层次没有完整 trace","E2","不适用","不适用","补请求生命周期 walkthrough","P1","M01-003","middleware;request_id;DI fixture;跨层日志","同一 request_id 贯穿入口;service;repository;错误响应和测试","https://fastapi.tiangolo.com/tutorial/middleware/;https://fastapi.tiangolo.com/tutorial/dependencies/","completed"
"M02-002","服务安全","M02","新增认证 principal 与资源授权章","server-owned Principal;owner-scoped repository;404/403 决策和身份字段注入负测已完成","生产认证 middleware/DI/request_id 前置仍依赖 M02-001","reference 身份映射不能替代生产身份提供方和请求生命周期教学","E2","不适用","不适用","在 M02-001 完成后补生产认证边界与请求级集成","P0","M02-001","principal dependency;owner-scoped repository;404/403 决策表","客户端身份字段被拒;跨租户读取不可见;日志不泄露敏感主体信息","https://owasp.org/API-Security/;https://fastapi.tiangolo.com/tutorial/security/","completed"
"M02-003","服务可靠性","M02","第 5/9 章","状态码与错误模型已有入门","RFC 9457;pagination;rate limit;readiness;connection pool 不足","错误;过载和依赖不可用没有统一响应示例","E2","不适用","不适用","补生产契约与依赖状态实验","P1","M02-001;M02-002","problem-details schema;pagination contract;429;readiness;pool exhaustion test","错误响应可机器判定;readiness 反映依赖;池耗尽和限流有明确恢复路径","https://www.rfc-editor.org/rfc/rfc9457;https://fastapi.tiangolo.com/advanced/events/","completed"
"M02-004","服务并发","M02","新增取消;deadline 与幂等章","已有接口测试","客户端断开;deadline 传播;重复创建和并发更新不足","成功路径没有展示竞态与资源释放","E2","不适用","不适用","新增并发 API 契约测试","P2","M01-003;M02-003","deadline header;idempotency test;concurrent update test","超时不产生幽灵写入;重复创建结果可判定;并发更新使用版本或 CAS","https://datatracker.ietf.org/doc/html/rfc9110","completed"
"M03-001","RAG 工程","M03","第 4/6 章","向量与 cosine 最小例较强","BM25;hybrid;rerank;Recall@k;MRR;nDCG 和 golden set 不足","检索好坏主要靠直觉;缺逐 query 诊断","E2","R1","不适用","重写检索评估主章","P1","W0-004","固定 corpus;golden queries;hybrid baseline;逐 query 指标","同一黄金集比较 lexical/vector/hybrid;原始排名可复算;失败 query 有分类","https://www.elastic.co/guide/en/elasticsearch/reference/current/index-modules-similarity.html;https://trec.nist.gov/","completed"
"M03-002","RAG 工程","M03","第 2/3 章","document/chunk/metadata 基础可保留","parser;OCR;表格;编码;重复文档;版本;删除;retention;freshness 不足","理想 Markdown 文档掩盖真实 ingestion 失败","E2","R1","不适用","新增 ingestion failure matrix 与生命周期章","P1","M03-001","多格式 fixture;解析质量报告;版本和删除测试","损坏;空白;重复;过期文档有确定状态;删除后不可被检索或缓存命中","https://opentelemetry.io/docs/;https://www.w3.org/TR/prov-o/","completed"
"M03-003","RAG 工程","M03","第 5/6 章","回答引用链已有基础","query rewrite;multi-query;rerank;abstention;citation entailment 不足","答案质量与检索质量没有分解","E2","R2-","不适用","补 query-to-answer 分层评估","P2","M03-001;M03-002","retrieval/answer 分层 rubric;拒答集;引用核对 artifact","能区分 retrieval miss;context misuse;unsupported answer;无证据时拒答","https://www.nist.gov/itl/ai-risk-management-framework","in-progress"
"M03-004","RAG 安全","M03","第 7/8 章","server-owned principal;tenant/ACL prefilter;身份注入拒绝;trusted metadata;日志/cache 负测;离线 simulated evaluator;raw-to-citation lineage 级联删除已完成","可信真实模型 adapter 对唯一 raw response 与规范化结果的绑定;固定模型/模板/解码配置的真实对抗证据;工具执行层再授权;外部 sink 删除证据不足","现有 evaluator 与删除闭环只能证明离线 reference 控制流;binding_unverified 外部字段和 simulated fixture 不能证明真实模型抗间接注入","E2","R1","不适用","保留离线 evaluator/lineage 删除;补可信 raw-response binding 和真实模型对抗实验","P0","W0-004;M03-002","threat model;poison fixture;offline evaluator report;lineage deletion receipt;trusted model adapter;versioned adversarial runs","恶意文档不改变系统指令;越权/污染命中可观测;敏感内容不进入日志;外部输出由唯一 raw response 派生;模型/模板/配置/逐次结果可追溯;工具执行再授权;不把 simulated 结果当模型安全认证","https://owasp.org/www-project-top-10-for-large-language-model-applications/","in-progress"
"M04-001","Agent 工程","M04","第 2-5/10 章","deterministic runtime 已覆盖 strict schema;有限循环;step log;授权审批;fencing 和 session isolation","显式 cancel 路径及 M02-004 请求并发/取消集成尚未完成","当前仅为单进程无模型无网络 reference，不能外推为生产 Runtime","E2","R1","不适用","在 M02-004 后补显式 cancel、请求生命周期和生产集成","P1","W0-005;M02-004","MockLLM;strict tool schema;finite loop;step log;session isolation","固定输入可运行;非法 tool args 被拒;循环上限;取消和失败均产出可审计 step log","https://docs.pydantic.dev/latest/;https://owasp.org/www-project-top-10-for-large-language-model-applications/","completed"
"M04-002","Agent 安全","M04","第 9 章","capability/resource 授权;审批绑定;模型提议与策略执行分离及敏感 trace 边界已有 runtime 负测","SSRF;path traversal;URL/egress 策略和 tool output 再注入对抗仍不足","内存工具没有网络和文件系统，无法证明真实副作用边界","E2","R1","不适用","补 egress deny、path/URL validator 和不可信 tool output 对抗测试","P0","W0-005;M04-001","policy layer;egress deny;path/URL validators;adversarial tests","模型不能扩大权限;tool output 被当不可信输入;敏感字段不进入 trace","https://owasp.org/www-project-top-10-for-large-language-model-applications/","completed"
"M04-003","Agent 可靠性","M04","第 3/5/6/7/10.7 章","审批 CAS/outbox;claim fencing;owner-scoped event cursor;task-reducer/v1;checkpoint digest;乱序/重复/version gap/终态负测已由 deterministic runtime 覆盖","数据库事件表;持久 checkpoint store;跨进程 crash recovery;broker delivery 和外部副作用对账仍未实现","本地纯 reducer 验收不能外推为分布式持久恢复或 exactly-once","E2","R1","不适用","保持 reducer/schema 版本、checkpoint 合同、教材边界与异常时序回归一致","P1","M04-001;W0-006","versioned reducer;checkpoint;乱序/重复/迟到/取消竞态测试","每个事件转换原子;重放确定;取消后迟到 completion 不改变终态","https://martinfowler.com/articles/patterns-of-distributed-systems/fencing.html","completed"
"M04-004","Agent 评估","M04","第 8 章;新增 eval 章","已有 step log 和监控设计","task success;tool accuracy;policy violation;cost;latency;human override 指标不足","只观察最终回答会掩盖错误动作","E2","R2-","不适用","新增固定 Agent eval set","P2","M04-001;M04-002","golden trajectories;policy cases;cost/latency report","逐步与最终指标分开;失败类型可复核;不由单次真实模型调用下结论","https://www.nist.gov/itl/ai-risk-management-framework","planned"
"M05-001","队列与调度","M05","新增第 13 章","离散事件调度模拟完整","publish;claim;ack/nack;redelivery;DLQ;cancel;deadline 不足","模拟器到真实消息系统跨度过大","E2","R1","不适用","新增真实队列契约桥接章","P1","W0-007","消息状态机;delivery matrix;最小 queue reference","crash;duplicate;timeout;cancel 各有预期状态;不把排序器冒充消息队列","https://www.rabbitmq.com/docs/confirms;https://redis.io/docs/latest/develop/data-types/streams/","planned"
"M05-002","容量工程","M05","第 6/7/11 章","P95/P99/utilization 与固定负载较强","arrival/service rate;稳定区;Little's Law;warm-up;measurement window 不足","容量变化缺队列稳定性推导","E2","R2-","不适用","补排队直觉和饱和实验","P1","M05-001;M08 负载模型","有界队列 sender;稳定/不稳定场景;Little's Law 核对","offered 与 achieved 分开;过载不无限排队;测量窗和排空规则明确","https://sre.google/sre-book/handling-overload/","planned"
"M05-003","容量工程","M05","第 7-10 章","burst;策略和分组伤害已有基础","重尾;估计漂移;deadline;aging 与 fairness tradeoff 不足","单一 workload 容易把策略排序写成普遍结论","E2","R2","不适用","扩展 workload 与稳健性矩阵","P2","M05-002;M11-004","Pareto/burst;prediction-error;deadline;fairness artifacts","多 seed 配对报告总体与分组伤害;结论随 workload 变化时明确边界","https://www.itl.nist.gov/div898/handbook/","planned"
"M05-004","资源调度","M05","第 8/11 章","cost-aware 与多 worker 有教学基础","CPU/GPU/显存;模型驻留;亲和性;配额和 admission 不足","worker 只有 available_time;不能表达 AI workload 资源约束","E2","R1","不适用","新增最小资源向量匹配实验","P2","M05-002","resource-vector fixture;unschedulable reason;quota test","不匹配任务保持可解释 Pending/Rejected;资源守恒;不冒充生产 GPU scheduler","https://kubernetes.io/docs/concepts/scheduling-eviction/kube-scheduler/","planned"
"M06-001","数据系统","M06","第 2 章后新增数据库基础章","task/outbox 模式较强","constraints;indexes;EXPLAIN;isolation;locks;deadlocks;migrations;pools 不足","高级模式先于数据库保证机制","E2","R1","不适用","新增数据库正确性与性能先修","P1","M02-003","schema migration;constraint tests;EXPLAIN artifact;deadlock demo","违反不变量由数据库拒绝;关键查询使用预期索引;并发异常可解释和恢复","https://www.postgresql.org/docs/current/ddl-constraints.html;https://www.postgresql.org/docs/current/using-explain.html;https://www.postgresql.org/docs/current/transaction-iso.html","completed"
"M06-002","分布式基础","M06","新增第 0 章或独立 DS 单元","正文散布 outbox;lease;CAS;retry","超时;部分失败;重复;乱序;partition;fencing;backoff 没有统一模型","术语分散出现导致模式记忆替代失效推理","E2","R1","不适用","新增分布式失效语义基础","P1","M00-002;M02-004","failure timeline;delivery semantics table;retry storm lab","能从 crash point 推导状态;区分 at-most/at-least/effectively-once;解释 fencing 必要性","https://martinfowler.com/articles/patterns-of-distributed-systems/","completed"
"M06-003","可靠性","M06","第 4/6/7 章及 reference","E06/P03 已覆盖 owner/version/lease fencing;Redis Streams reliable receive;受限重试和事件状态证据","M06-001/002 首次教学前置及统一事件审计讲解仍未闭环","reference 通过不能跳过请求生命周期、并发与失败语义前置","E2","R1","不适用","完成 M06-001/002 后统一教材状态转换、crash matrix 与事件审计解释","P0","W0-006;W0-007;M06-001;M06-002","version/owner scoped transitions;crash matrix;events log","所有状态更新带 expected state/version/owner;恢复次数受限;事件可审计","https://www.postgresql.org/docs/current/sql-update.html","completed"
"M06-004","缓存工程","M06","第 5 章;E06-03","E06 已有 owner/ACL/version key、TTL/LRU、损坏值恢复、backend unavailable 与单进程 single-flight reference","真实 Redis 网络、跨进程锁、failover 和内存压力仍未验证","教材与实验已明确 deterministic backend 和生产 Redis 的证据边界","E2","R1","不适用","新增可执行缓存 reference","P1","W0-004;M06-001","cache reference;single-flight test;corrupt value;Redis unavailable test","授权范围进入 key;更新后旧值失效;并发 miss 有界;Redis 故障不绕过权限","https://redis.io/docs/latest/develop/use/client-side-caching/","completed"
"M06-005","异步任务","M06","E06-01/E06-02","E06 schema v2、FastAPI create/query、owner scope、outbox、worker 和 safe cache 已形成进程内闭环","真实身份提供方、跨进程 broker 与生产 RAG workload 仍属外部边界","实验页按进程内 E06、P03 多服务和未实现生产能力分层陈述","E2","R1","不适用","补 E06 FastAPI integration tests，并在 M06-004 后接安全 cache reference","P1","M06-003;M06-004","分层实验索引;FastAPI integration tests;worker fixture","每个实验明确 database-only 或 end-to-end;命令和产物与范围一致","https://docs.pytest.org/;https://fastapi.tiangolo.com/tutorial/testing/","completed"
"M07-001","容器工程","M07","第 7 章","E07 已有五服务 Compose reference","教材仍是四服务 design-note 且缺 dispatcher 状态链","正文无法解释 reference 的真实拓扑和故障面","E2","不适用","不适用","用 verified 五服务拓扑重写主章","P1","W0-007;M06-003","五服务图;版本固定 compose;端到端 walkthrough","API->outbox->dispatcher->queue->worker->DB 状态可追踪;健康检查和 cleanup 可运行","https://docs.docker.com/compose/","planned"
"M07-002","容器工程","M07","新增容器生命周期章","Dockerfile;非 root;volume/network 已有基础","PID 1;signal;graceful shutdown;restart/backoff;health/readiness;limits/OOM 不足","容器启动成功被误当成可安全终止和恢复","E2","不适用","不适用","新增生命周期与故障恢复实验","P1","M00-001;M07-001","SIGTERM test;in-flight drain;health/readiness;OOM artifact","停止时不丢已领取任务;readiness 先于退出关闭;OOM 与应用错误可区分","https://docs.docker.com/engine/containers/start-containers-automatically/;https://docs.docker.com/reference/dockerfile/","planned"
"M07-003","供应链安全","M07","第 4/8 章","固定 base 与非 root 已覆盖","SBOM;image scan;secret;CI build;multi-stage 和 provenance 不足","安全建议缺可观察 scan 结果","E2-E3","不适用","不适用","补最小镜像供应链实验","P2","M01-002;M07-002","SBOM;scanner report;secret negative test;CI workflow","高危依赖有处置记录;镜像无内置 secret;digest 和构建来源可追溯","https://docs.docker.com/build/building/best-practices/;https://slsa.dev/","planned"
"M08-001","可观测性","M08","第 6 章","阶段计时和请求路径概念已有","W3C trace context;span/link;跨 API/outbox/queue/worker 传播;sampling/export 不足","Mermaid 路径不能替代真实 trace","E2","R1","不适用","重写为最小 OTel 跨进程实验","P1","M07-001;M02-001","OTel instrumentation;collector;trace screenshot/JSON;断链反例","同一 trace 关联 API 与 worker;异步边界使用正确 parent/link;采样策略可解释","https://opentelemetry.io/docs/;https://www.w3.org/TR/trace-context/","planned"
"M08-002","可观测性","M08","第 3/5 章;新增 Prometheus 章","metrics 术语和应用 JSON endpoint 已区分","scrape;counter/gauge/histogram;PromQL;dashboard;alert 闭环缺失","指标名列表没有查询和行动路径","E2","R1","不适用","新增 Prometheus 可执行闭环","P1","M07-001","scrape config;PromQL;dashboard;alert rule;failure drill","能由 dashboard 定位队列积压;alert 有阈值依据和恢复通知;counter reset 正确处理","https://prometheus.io/docs/introduction/overview/;https://prometheus.io/docs/practices/histograms/","planned"
"M08-003","性能工程","M08","第 7-8 章;E08","开放/闭环与测量阶段讲解较强","真实服务开放环;长时稳态;warm-up;重复 RAG/LLM workload 未闭环","本机 mock 结果容易被当容量结论","E2-E3","R2","不适用","新增真实 workload 和重复实验轨","P1","M03-001;M08-002","fixed schedule sender;raw latency;resource samples;multi-run report","offered/actual/achieved 分开;失败和删失保留;报告明确本机边界","https://docs.locust.io/;https://sre.google/sre-book/monitoring-distributed-systems/","planned"
"M08-004","可观测性","M08","第 2-5/9 章","日志;metrics;尾延迟概念齐全","exemplar;trace-log-metric correlation;bucket/SLO;PII 脱敏不足","三类信号平行介绍但没有联合诊断案例","E2-E3","R1","不适用","新增关联诊断 capstone","P2","M08-001;M08-002","correlation fields;exemplar;SLO burn alert;redaction test","从告警进入 trace 和日志定位同一故障;敏感输入不出现在任何信号","https://opentelemetry.io/docs/concepts/signals/;https://sre.google/workbook/alerting-on-slos/","planned"
"M09-001","Kubernetes","M09","第 2-5 章","observe-break-fix 路径和 kind reference 较好","requests/limits;startup/readiness/liveness;termination grace 不完整","Deployment 正常不等于资源和生命周期正确","E2","不适用","不适用","补资源与 probe 实验","P1","M07-002","manifest;probe failure;OOMKill/Pending;graceful rollout evidence","requests/limits 可观察;三类 probe 用途区分;滚动更新不接收未就绪流量","https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/;https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/","planned"
