"task_id","workstream","module","chapter","current_strength","knowledge_gap","explanation_gap","target_engineering_level","target_research_level","target_finance_level","action","priority","prerequisites","expected_artifact","acceptance","canonical_sources","status"
"M09-002","Kubernetes 安全与存储","M09","第 4-6/9 章","Service;Secret;Job 基础可保留","RBAC;ServiceAccount;NetworkPolicy;PVC/StatefulSet;PDB 缺闭环","emptyDir 数据库和宽权限会形成错误生产直觉","E2","不适用","不适用","新增最小安全与持久性轨","P1","M09-001","least-privilege RBAC;network deny/allow;PVC restart;PDB test","无授权账号被拒;非预期流量阻断;Pod 重建后数据保留;维护时预算生效","https://kubernetes.io/docs/reference/access-authn-authz/rbac/;https://kubernetes.io/docs/concepts/services-networking/network-policies/;https://kubernetes.io/docs/concepts/storage/persistent-volumes/","planned"
"M09-003","Kubernetes 弹性","M09","第 7 章","HPA 原理和所需组件已提及","metrics-server/adapter/KEDA 与真实扩缩容未实现","instructional 标签高于实跑证据","E2","R1","不适用","完成 E09-05 或降为 design-note","P1","M09-001;M08-002","HPA/KEDA manifest;load;scale event;stabilization report","真实 metric 驱动 replica 变化;冷却和回落可观察;否则章节明确保持设计稿","https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/;https://keda.sh/docs/","planned"
"M09-004","Kubernetes 调度","M09","第 8 章","Scheduler 定位正确","多节点;Pending;taint/toleration;affinity;priority/preemption 不足","类比没有实际 scheduler event 和资源约束","E2","R1","不适用","重写双节点资源调度实验","P2","M09-001","two-node kind;resource pressure;affinity/taint cases;events","每种 Pending 原因可由 event 解释;约束改变后 Pod 进入预期 Node;清理完整","https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/;https://kubernetes.io/docs/concepts/scheduling-eviction/taint-and-toleration/","planned"
"M10-001","推理系统","M10","第 4 章","KV cache 每 token 公式较强","weights;KV;activations;workspace;fragmentation 和 safety margin 的总 memory budget 不足","单项 KV 计算不能判断模型能否部署","E2","R1","不适用","新增完整显存预算 walkthrough","P1","W0-009","memory budget sheet;OOM boundary experiment;assumption table","预算各项口径明确;预测与实际峰值比较;误差和安全余量可解释","https://docs.vllm.ai/en/latest/serving/engine_args.html","planned"
"M10-002","推理系统","M10","第 3/5 章","batching;queue;限流和超时概念已有","continuous batching;prefill/decode interference;stream cancel;token budget;backpressure 不足","线性 FIFO simulator 无法展示真实 scheduler 行为","E2","R1-R2","不适用","扩写调度与过载机制","P1","M05-002;M10-001","timeline;cancel test;token admission;overload curve","取消释放资源;过载有拒绝或降级;TTFT/TPOT/goodput 联合报告","https://docs.vllm.ai/;https://github.com/ai-dynamo/aiperf","planned"
"M10-003","推理系统","M10","新增优化策略章","GQA/MQA 已覆盖","quantization;tensor/pipeline parallel;prefix cache;speculative decoding 缺失","工具名定位不足以解释优化适用条件和副作用","E2","R1","不适用","新增策略比较与决策表","P2","M10-001;M10-002","memory/quality/latency tradeoff table;小型对照实验","每种策略列前提;收益;失败模式和不可比较项;不以单次结果排名","https://docs.vllm.ai/;https://pytorch.org/docs/stable/distributed.html","planned"
"M10-004","推理系统","M10/E10","E10-03 真实 vLLM","环境边界已诚实标 blocked","缺真实模型;GPU;benchmark;原始输出和可复现环境","合成结果不能迁移到模型 serving","E2","R2-","不适用","完成真实 vLLM 最小实验","P1","W0-009;M10-001;M10-002","env manifest;model digest;benchmark raw;resource trace;cleanup","冷启动;稳态;过载和取消均执行;原始请求与 token 指标保留;结论限定硬件模型","https://docs.vllm.ai/;https://github.com/ai-dynamo/aiperf","blocked"
"M10-005","推理系统","M10","第 6 章 Triton","NVIDIA Triton 与 Triton language 已区分","没有 model repository;dynamic batching 或 metrics 实验","并列工具介绍容易扩大主线负担","E2","R1","不适用","拆为选修 reference;满足资源后新增 E10-05","P3","W0-009;M10-004","Triton optional lab;model config;dynamic batching comparison","未执行时保持 design-note;执行后记录模型配置;batch queue 和指标证据","https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/","blocked"
"M11-001","科研方法","M11","新增文献检索与相关工作章","RQ01 有精选 prior art","缺数据库;查询式;日期;纳排;去重;追溯和综合方法","阅读表不能证明系统检索或 claim 覆盖","不适用","R2","不适用","新增可复核检索协议","P1","无","search_protocol.md;search_log.csv;evidence table;flow diagram","另一作者可复跑查询;每篇来源有纳排理由;主张映射到来源","https://www.prisma-statement.org/","planned"
"M11-002","科研方法","M11","第 1/2/4 章","问题;假设和变量骨架清楚","estimand;操作化;单位;干预;结果和可证伪范围不足","假设句没有连接决策和测量对象","不适用","R2","不适用","补研究问题到 estimand walkthrough","P1","M11-001","estimand table;operational definitions;measurement contract","问题;实验单位;处理;对照;结果;聚合和外推范围唯一且一致","https://www.itl.nist.gov/div898/handbook/","planned"
"M11-003","科研方法","M11","第 4 章","控制变量和 CRN 已覆盖","randomization;blocking;stratification;balanced order;factorial/interaction 不足","一次只改一个变量过度简化系统实验","不适用","R2","不适用","新增随机化;区组与析因设计章","P1","M11-002","factor matrix;randomized run order;block definitions;interaction plot","运行顺序冻结;机器/日期/缓存状态被控制;能估计主效应与交互","https://www.itl.nist.gov/div898/handbook/pri/pri.htm","planned"
"M11-004","科研方法","M11","第 5.6 章后新增功效章","配对 CI 与 bootstrap 已较强","pilot 到最终 seed 数没有目标效应;CI 半宽;方差和冻结规则","30 seeds 可能被误当通用充分样本量","不适用","R2","不适用","新增样本量和精度规划","P1","M11-002;RQ01 pilot variance","sample_size_plan.json;assumptions;sensitivity table;freeze record","目标效应或 CI 半宽预先声明;最终数量在看结果前冻结;偏离有记录","https://www.statsmodels.org/stable/stats.html;https://www.itl.nist.gov/div898/handbook/","planned"
"M11-005","科研方法","M11","第 5.6/7 章","bootstrap;尾分位数稳定和失败分析已有","重尾;trimmed mean;influence;cluster/block bootstrap;missing/failure mechanism 不足","一个 bootstrap 方案像通用答案","不适用","R2","不适用","补稳健推断决策树","P1","M11-003;M11-004","robustness table;influence plot;alternative CI;failure sensitivity","主结论在预设稳健性检查中报告一致或解释差异;不删除失败 run 粉饰结果","https://www.itl.nist.gov/div898/handbook/","planned"
"M11-006","科研方法","M11","新增消融与多重比较章","已有 baseline 和比较角色","ablation;family definition;Holm;exploratory/confirmatory 分工不足","多策略多指标易挑选有利结果","不适用","R2","不适用","新增预注册式分析计划和消融产物","P1","M11-003;M11-004","analysis_plan;ablation table;Holm-adjusted results","比较 family 预先定义;主次指标分开;全部比较和调整结果保留","https://www.itl.nist.gov/div898/handbook/","planned"
"M11-007","科研方法","M11","第 7/8 章","局限与报告结构已有","internal/external/construct/statistical validity 缺系统矩阵","局限列表没有 claim-threat-mitigation-residual 对应","不适用","R3-","不适用","新增效度威胁章和审稿清单","P1","M11-002;M11-005","validity matrix;claim boundary review","每个核心主张至少一项威胁;缓解;残余风险和禁止外推范围","https://neurips.cc/public/guides/PaperChecklist","planned"
"M11-008","科研方法","M11","新增伦理;隐私和数据治理章","artifact 与稳定引用已有基础","许可;PII;保密;利益冲突;双重用途;保留/删除不足","可复现被误解为可以公开所有数据","不适用","R3-","不适用","新增伦理治理门禁","P1","M11-001","data governance plan;license/PII checklist;release tiers;COI statement","每个 dataset/artifact 有许可和敏感级别;公开与受限材料边界明确","https://www.acm.org/code-of-ethics;https://www.nist.gov/itl/ai-risk-management-framework","planned"
"M11-009","科研方法","M11/RQ01","第 1-8 章贯通案例","RQ01 artifact 可复算","没有从检索到报告的显式完整 worked case;迁移性弱","读者可能只会复刻 RQ01 字段","不适用","R2","不适用","新增贯通案例和非 RQ01 独立变式","P1","M11-001 至 M11-008","worked research package;独立变式题;答案册","worked case 包含协议;设计;raw;analysis;validity;ethics;独立任务更换问题域","https://www.acm.org/publications/policies/artifact-review-and-badging-current","planned"
"F00-001","金融基础","F00","第 2/5 章","资产字段与数据来源已有入门","公司行动;复权;退市;代码变更;总收益重建不足","价格字段表未展示资产生命周期如何破坏收益率","不适用","R1","F2","新增 corporate-action 账本实验","P2","F02 时间索引","raw/adjusted price ledger;split/dividend/delist cases","收益重建逐事件可复算;不使用未来复权信息;退市样本不被静默删除","https://pandas.pydata.org/docs/","planned"
"F00-002","金融基础","F00","第 1-5 章","市场和资产类别直觉较清楚","bid-ask;liquidity;market/limit order;trading calendar;data license 边界不足","收盘价示例容易掩盖可交易价格和许可约束","不适用","R1","F1-F2","补微观结构与数据治理最小章","P2","无","quote/trade example;calendar case;license inventory","能区分 mid;bid;ask;last;按交易日历对齐;每个数据源有许可与使用范围","https://www.sec.gov/marketstructure/","planned"
"F01-001","金融数学","F01","第 2-5 章","均值;分位数;VaR;协方差可复算","概率分布;条件概率;抽样分布;估计;置信区间;检验;回归不足","描述统计被放在概率统计标题下但未建立推断桥梁","不适用","R2","F2","新增概率与推断基础组章","P1","M11 统计口径协调","simulation;sampling distribution;CI/test/regression diagnostics","固定随机种子可复算;区分参数;估计量和样本;报告效应与区间而非只报 p 值","https://www.itl.nist.gov/div898/handbook/;https://www.statsmodels.org/stable/","planned"
"F01-002","金融数学","F01","第 5/6 章后","协方差矩阵与组合风险示例较强","向量矩阵;二次型;特征值;PSD;条件数不足","公式可算但无法诊断非 PSD 或病态协方差","不适用","R1","F2","新增线性代数诊断章","P1","F01-001","eigenvalue/condition-number notebook;non-PSD repair comparison","能验证维度;对称性和 PSD;病态矩阵发出警告;修复不被写成唯一真值","https://numpy.org/doc/stable/reference/routines.linalg.html","planned"
"F01-003","金融数学","F01","新增优化基础章","两资产权重计算可作为先修","目标函数;约束;凸性;数值优化;KKT 直觉和敏感性不足","F03 有效前沿缺数学先修","不适用","R1-R2","F2","新增约束优化 worked example","P1","F01-002","SciPy optimization;constraint checks;initialization/sensitivity cases","解满足约束;目标值可复算;失败和局部/数值边界明确","https://docs.scipy.org/doc/scipy/tutorial/optimize.html","planned"
"F02-001","金融数据","F02","第 2.5/3/7 章","时区;PIT;vintage 和 lineage 较强","复权;分红拆股;退市;期货换月和 symbol lifecycle 未闭环","对齐正确仍可能经济口径错误","不适用","R2","F2","新增资产生命周期数据实验","P1","F00-001","event ledger;as-of query;roll schedule;survivorship case","任意时点只用当时可得版本;corporate action 与换月处理有逐行依据","https://pandas.pydata.org/docs/user_guide/timeseries.html","planned"
"F02-002","时间序列","F02","第 7 章后新增 statsmodels 章","rolling 与 drawdown 计算可保留","stationarity;ACF/PACF;baseline forecast;residual diagnostics 缺失","路线承诺 statsmodels 但正文主动推迟","不适用","R2","F2","新增最小时间序列建模闭环","P1","F01-001;F02-001","naive baseline;AR model;residual plots;walk-forward forecast","时间顺序不泄漏;与 naive baseline 比较;残差和不确定性报告;不转写为交易收益","https://www.statsmodels.org/stable/tsa.html","planned"
"F03-001","组合研究","F03","第 3-6 章","组合收益;协方差;Sharpe 和两资产曲线较强","CAPM;beta;alpha;因子回归与频率口径不足","路线关键词 CAPM 没有对应首次教学章","不适用","R2","F2","新增 CAPM 与因子基线章","P1","F01-001;F02-001","factor alignment;OLS/HAC diagnostics;frequency checks","因子与收益 point-in-time 对齐;beta/alpha 区间报告;不把拟合关系写成因果","https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html;https://www.statsmodels.org/stable/regression.html","planned"
"F03-002","组合研究","F03","第 6 章后","两资产曲线提供良好直觉","Markowitz;约束优化;有效前沿;估计误差和 resampling 缺失","两资产枚举不足以兑现模块承诺","不适用","R2","F2","新增多资产有效前沿与敏感性章","P1","F01-002;F01-003","frontier artifact;constraints;bootstrap/resampling;sensitivity table","权重和目标可复算;约束满足;输入轻微变化的权重不稳定被展示","https://docs.scipy.org/doc/scipy/tutorial/optimize.html","planned"
"F03-003","风险管理","F03","第 1-5 章","VaR/ES 和风险边界已有基础","VaR breach;Kupiec/Christoffersen;正式压力情景和治理动作不足","指标计算没有连接模型验证与限额动作","不适用","R2","F2-F3","新增风险模型验证闭环","P1","F01-001;F02-001","rolling breaches;coverage/independence tests;stress library;action table","违约序列和检验可复算;压力情景有来源;识别-度量-限额-动作-复核完整","https://www.bis.org/bcbs/;https://www.itl.nist.gov/div898/handbook/","planned"
"F04-001","衍生品","F04","第 1-2 章前后","payoff 与 Black-Scholes 输入输出清楚","无套利;复制组合;风险中性测度直觉;一期/多期二叉树缺失","直接给闭式公式会形成公式记忆","不适用","R1","F2","新增复制与二叉树教学主章","P1","F01 概率基础","one/two-step tree;replicating portfolio;convergence table","树价格;复制成本和贴现期望相互核对;套利边界明确","https://www.quantlib.org/;https://ocw.mit.edu/","planned"
"F04-002","衍生品","F04","第 3/4 章后","MC 标准误;解析 oracle 和参数敏感性已有基础","implied volatility;actual Greeks;root finding;calibration;surface arbitrage 不足","Greeks 直觉没有数值核对和市场价格反解","不适用","R2","F2","新增 IV;Greeks 与校准实验","P1","F04-001;F01-003","IV solver;analytic/finite-difference Greeks;multi-seed MC;surface checks","价格残差和 bracket 记录;Greeks 双方法一致;失败输入明确;不把平滑曲面当真实市场","https://docs.scipy.org/doc/scipy/reference/optimize.html;https://www.quantlib.org/","planned"
"F05-001","固定收益","F05","第 4/5 章","YTM;久期;凸性和有限差分核对较强","spot/zero/forward;day-count;calendar;bootstrap;interpolation 缺失","单债 YTM 无法解释收益率曲线","不适用","R1-R2","F2","新增零息曲线 bootstrapping 主章","P1","F01-003","instrument quotes;cashflow matrix;bootstrapped curve;repricing residuals","输入约定固定;每个工具重定价残差在容差内;插值和外推边界明确","https://www.quantlib.org/","planned"
"F05-002","固定收益","F05","第 4 章后","parallel yield shift 的 duration/convexity 已有","key-rate duration;non-parallel shocks;curve scenario;credit spread separation 不足","单一 YTM 冲击会掩盖曲线形变风险","不适用","R2","F2-F3","新增关键利率与情景风险实验","P2","F05-001","key-rate ladder;twist/butterfly scenarios;P&L attribution","近似与完整重估比较;曲线和 credit spread 风险分开;误差阈值预设","https://www.bis.org/bcbs/","planned"
"F06-001","回测研究","F06","第 3/6 章","成交时钟;成本和泄漏反例已修正","walk-forward;purged/embargo;final holdout 不足","单一切分不足以估计选择稳定性","不适用","R2","F2","新增时间验证协议","P1","F02-001;M11-003","walk-forward splits;purge/embargo assertions;frozen holdout","任何训练窗口不接触标签区间;最终 holdout 只打开一次;拆分 manifest 可复核","https://scikit-learn.org/stable/modules/cross_validation.html","planned"
"F06-002","回测研究","F06","第 5/6 章","风险指标和 data-snooping 警告已有","multiple testing;selection bias;依赖收益不确定性;HAC/bootstrap 缺失","最好策略被展示但未计入搜索过程","不适用","R2","F2-F3","新增策略选择偏差与稳健推断章","P1","F06-001;M11-005;M11-006","experiment registry;all-trials table;HAC/block bootstrap;adjusted comparison","所有试验保留;主策略在看 holdout 前冻结;区间考虑时间依赖;结论含失败策略","https://www.statsmodels.org/stable/generated/statsmodels.stats.sandwich_covariance.cov_hac.html","planned"
"F06-003","回测工程","F06","第 4 章","turnover 与双边成本已有正确基础","bid-ask;market impact;capacity;partial fill;latency;borrow;corporate actions 不足","常数费率易被误读为执行模型","不适用","R2","F2-F3","新增成交账本与容量敏感性实验","P1","F00-001;F06-001","order/fill ledger;partial fills;cost components;capacity curve","每笔 P&L 可回溯到 fill;未成交不产生头寸;成本和容量假设有敏感性范围","https://www.sec.gov/marketstructure/;https://www.finra.org/rules-guidance","planned"
"F07-001","金融 ML","F07","第 2-6 章","标签时点;时间切分;baseline;模型风险边界较强","6 个教学章没有一致独立练习;章内来源为零","worked example 少且答案迁移性弱","不适用","R2","F2","为每章补未见输入练习和就近来源","P1","PED-002;PED-003","exercise pack;hidden fixtures;answer guide;source map","每章至少一个时间有效变式;答案分离;关键方法有官方或原始来源","https://scikit-learn.org/stable/;https://www.statsmodels.org/stable/","planned"
"F07-002","金融 ML","F07","第 3/4/5 章","baseline;混淆矩阵和冻结测试集已有","purged/embargo CV;概率校准;阈值;class imbalance;经济效用不足","分类指标与净收益决策未连接","不适用","R2","F2","新增校准与时间验证实验","P1","F06-001","calibration curves;threshold policy;purged splits;net-benefit table","概率校准在未见窗口评估;阈值只用 validation 选择;报告成本后结果","https://scikit-learn.org/stable/modules/calibration.html","planned"
"F07-003","模型治理","F07","第 6/7 章","模型卡;gap 限制和 drift 概念已有","漂移检测;重训触发;champion/challenger;依赖样本不确定性;数据治理不足","模型卡字段没有运行监控证据","不适用","R2-R3","F3","新增 drift 与治理 reference","P2","F07-002;M11-008","drift fixture;monitor thresholds;model registry entries;decision log","阈值在 deployment 前冻结;触发后动作明确;模型与数据版本可追溯","https://www.nist.gov/itl/ai-risk-management-framework","planned"
"F08-001","状态与工程整合","F08","第 1-8 章","schema;artifact 和权限边界设计较强","finance task 未注册;无真实 artifact store 和端到端运行","verified contract 容易被读成可运行金融平台","E2","R1","F2","保持 design-note;定义升级条件","P1","W0-002;W0-003;W0-004;F06-003","activation checklist;contract tests;end-to-end plan","只有 task 注册;server principal;真实 artifact;运行与失败测试均通过后才升级 instructional/implemented","https://owasp.org/API-Security/","planned"
"M12-001","状态与场景","M12","第 1-6 章","稳定引用;claim-support 与检索前 ACL 设计较强","没有可运行金融 RAG/Agent;不承担金融理论首次教学","设计稿叙述接近教程且可能被计入覆盖","E2","R2","F2-F3","保持 design-note 并补威胁与人工复核门禁","P2","W0-004;M03-004;M04-002;F08-001","scenario threat model;human-review rubric;activation criteria","未实现能力均显式;金融事实带 as-of/source;高风险输出必须人工复核","https://www.nist.gov/itl/ai-risk-management-framework;https://owasp.org/www-project-top-10-for-large-language-model-applications/","planned"
"PLAN-001","方案治理","全库","内容优化任务矩阵","任务已有前置和验收字段","前置字段尚未形成可校验 DAG;自由文本依赖可能悬空或成环","执行顺序仍依赖人工记忆","不适用","不适用","不适用","新增任务依赖和状态校验器","P1","W0-003","matrix validator;dependency graph;orphan/cycle report","所有 task ID 唯一;ID 型前置存在;无循环;P0 不依赖未排期 P2/P3;完成状态必须附验收证据","https://json-schema.org/","completed"
"PED-009","教学一致性","全库","术语与正文表达","多数模块已有术语说明和学习目标","缺统一可读性规则;首次出现术语;中英文映射和句段负荷未系统治理","同一概念在不同模块重复定义或默认读者已知","不适用","不适用","不适用","建立术语表与人工可读性复核清单","P2","PED-008","glossary;term-owner map;readability review sample","核心术语首次出现即定义;跨模块定义一致;长段按单一主题拆分;公式符号表可查","https://developers.google.com/style/word-list;https://developers.google.com/tech-writing/one/short-sentences","planned"
"PED-010","教材可访问性","全库","图;表;告警;代码和导航","已有少量 Mermaid 可访问性元数据","360 个视觉项和复杂表格没有统一等价文本;键盘/读屏和非颜色信息未系统复核","图示可能成为理解关键机制的唯一入口","不适用","不适用","不适用","新增可访问性门禁并优先修高风险图表","P2","PED-004;PED-008","visual inventory;alt/long description;table headers;accessibility checklist","关键信息不只依赖颜色/位置;复杂图有文字等价物;表头语义明确;链接文本可独立理解","https://www.w3.org/WAI/WCAG22/quickref/;https://udlguidelines.cast.org/","planned"
"PED-011","来源与许可","全库","教材;代码;数据;图表和第三方片段","已有 canonical source 和部分 license note","缺第三方代码/图/数据的许可证;修改状态;归属和再分发台账","来源可访问不等于允许复制或发布","不适用","R1","F1","建立 provenance 与 license ledger","P1","PED-003","third_party_ledger.csv;license files;attribution blocks;removal decisions","每个非原创资产有来源;许可;版本;修改和再分发结论;未知许可内容不进入发布稿","https://reuse.software/spec/;https://creativecommons.org/share-your-work/cclicenses/","in-progress"
"PED-012","版本维护","全库","版本敏感主张和示例","Python 3.13 主基线已建立","FastAPI;Pydantic;Kubernetes;vLLM 等版本漂移没有 owner;复核周期和到期门禁","今天正确的命令可能在后续版本静默失效","不适用","不适用","不适用","建立版本 manifest 与定期 freshness 检查","P1","PED-003;W0-003","version_manifest;owner/review_date;deprecation scan;upgrade notes","每个版本敏感模块有支持范围和复核日期;EOL 或重大版本变化自动进入待复核","https://endoflife.date/docs/api/v1/;https://semver.org/","in-progress"
"M02-005","认证与传输安全","M02","新增认证凭据与浏览器边界章","server-owned principal 已列为 P0 基础","credential verification;JWT claim 校验;key rotation;TLS termination;CORS/CSRF 边界未承接","只注入 principal 而不解释 principal 如何可信会留下认证空洞","E2","不适用","不适用","新增最小 bearer 验证和传输边界实验","P1","M00-002;M02-002","signed-token fixture;issuer/audience/expiry tests;CORS policy;TLS boundary diagram","过期;错 issuer/audience;篡改 token 被拒;CORS 不被写成认证;生产凭据不进仓库或日志","https://www.rfc-editor.org/rfc/rfc7519;https://cheatsheetseries.owasp.org/cheatsheets/REST_Security_Cheat_Sheet.html;https://fastapi.tiangolo.com/tutorial/cors/","planned"
"DS-001","分布式基础","M06","分布式基础单元中的时间语义","已有 timeout;lease 和 server time 概念","monotonic/wall clock;clock skew;deadline budget;timestamp ordering 未形成统一模型","租约和延迟示例可能把本地 wall clock 当全局真相","E2","R1","不适用","补时钟;deadline 与漂移反例","P1","M00-001;M06-002","clock model;monotonic timing demo;skew/deadline tests","持续时间使用 monotonic clock;跨服务时间戳只作有界证据;deadline 逐跳收缩且不被重置","https://docs.python.org/3.13/library/time.html;https://sre.google/sre-book/addressing-cascading-failures/","planned"
"M06-006","数据恢复","M06","数据库基础章;新增恢复实验","持久化;outbox 和 reconciliation 已覆盖运行时恢复","backup;restore;PITR;schema rollback;数据保留和灾难恢复目标缺失","重启恢复被误当成数据可恢复","E2-E3","R1","不适用","新增备份恢复和迁移回滚闭环","P1","M06-001;M06-003","backup artifact;restore drill;migration rollback;RPO/RTO note","空环境可恢复到校验点;数据与 outbox 不变量一致;迁移失败可回滚;教学简化不冒充生产 DR","https://www.postgresql.org/docs/current/backup.html;https://www.postgresql.org/docs/current/continuous-archiving.html","planned"
"M08-005","运行工程","M08","第 9/10 章;新增 incident capstone","已有排查顺序和报告模板","severity;runbook;incident timeline;mitigation;postmortem 和 action tracking 不足","找到原因后没有演练止损;恢复和复盘","E3-","R1","不适用","新增可观测性驱动故障响应演练","P2","M08-004;M06-006","runbook;incident timeline;mitigation evidence;postmortem","从告警到缓解;恢复;验证和复盘全链有时间线;行动项有 owner 和验收;不归咎个人","https://sre.google/sre-book/postmortem-culture/","planned"
"M09-005","Kubernetes 安全","M09","第 4/5/9 章","Service;Ingress 与 Secret 边界已有概念","Ingress/Gateway TLS;certificate rotation;external secret;secret rotation 和审计缺闭环","base64 Secret 和明文环境变量容易被误当充分保护","E2-E3","不适用","不适用","新增 TLS 与 Secret 生命周期实验","P1","M02-005;M09-002","TLS manifest;rotation drill;external-secret design;log redaction test","明文 HTTP 边界明确;证书轮换不中断服务;旧凭据失效;Secret 不出现在 Git;Pod spec 或日志明文输出","https://kubernetes.io/docs/concepts/configuration/secret/;https://kubernetes.io/docs/concepts/services-networking/gateway/","planned"
"M10-006","推理可复现性","M10","第 1/2/4/8 章","prompt/output token 口径已校准","tokenizer;chat template;model revision;dtype;generation config 和 deterministic boundary 未统一记录","同名模型或相同文本不保证 token 数和输出可比","E2","R2","不适用","新增模型与 tokenizer 运行 manifest","P1","M10-001;M10-004;PED-012","model/tokenizer digest;chat template;generation config;environment manifest","任一 benchmark 可重建 token 化和模型配置;版本变化触发不可直接比较标记;不承诺 GPU 完全确定性","https://huggingface.co/docs/transformers/main_classes/tokenizer;https://docs.vllm.ai/","planned"
"M11-010","科研方法","M11","第 1/2/7 章;新增因果边界单元","相关性与实验主张边界已有零散提醒","prediction;association;causal effect;intervention 和 confounding 未形成决策规则","工程 A/B 或观测日志容易被写成因果结论","不适用","R2-R3","不适用","新增因果主张边界与反例","P1","M11-002;M11-003;M11-007","claim taxonomy;DAG exercise;confounding counterexample;wording rubric","每个结论标 descriptive/predictive/causal;非随机设计不无条件声称因果;混杂和可识别假设显式","https://www.bradyneal.com/causal-inference-course;https://www.nist.gov/itl/ai-risk-management-framework","planned"
"M11-011","科研数据与软件","M11/RQ01","第 6/8 章;artifact","已有原始 artifact;hash 和报告模板","data dictionary;schema version;environment lock;workflow automation;archival/retention 和 clean-room rerun 不完整","有文件不等于第三方能重建结果","不适用","R3-","不适用","补研究数据管理和可复现软件包","P1","M11-008;M11-009;PED-011;PED-012","data dictionary;workflow command;environment lock;archive manifest;clean-room log","新环境单命令重建核心表;输入输出 hash 对齐;受限数据有替代验证路径;保留策略明确","https://www.acm.org/publications/policies/artifact-review-and-badging-current;https://www.go-fair.org/fair-principles/","planned"
"EVAL-001","AI 评测","M03/M04/M11","RAG 与 Agent 评估主线","已有检索指标;Rubric;双评和 Agent eval 规划","自动 judge 校准;版本漂移;盲评;位置偏差;一致性与人工 adjudication 未形成统一教材","不同模块会各自发明质量分数而不可比较","E2","R2-R3","不适用","新增统一 AI 输出评测基础章或跨模块 reference","P1","M03-003;M04-004;M11-005;M11-008","evaluation protocol;blind set;human/judge agreement;versioned results","gold set 与调参集分离;judge 版本和 prompt 固定;报告一致性和分歧;自动分数不替代安全事实核查","https://www.nist.gov/itl/ai-risk-management-framework;https://platform.openai.com/docs/guides/evals","planned"
"F01-004","金融数学","F01","新增微积分与数值方法桥梁章","现有公式计算避免过早高阶证明","导数;偏导;Taylor 近似;数值微分;积分和误差传播未由任务承接","F04 Greeks;F05 久期凸性和优化公式缺共同数学语言","不适用","R1-R2","F2","新增面向定价和风险的最小微积分/数值方法章","P1","F01-001;F01-002","finite-difference notebook;Taylor error;quadrature example;sensitivity table","解析与数值导数在容差内;步长误差可观察;只覆盖后续必需概念且不冒充完整微积分课","https://docs.scipy.org/doc/scipy/tutorial/integrate.html;https://ocw.mit.edu/courses/18-01sc-single-variable-calculus-fall-2010/","planned"
"F04-003","衍生品","F04","第 2/3 章前新增随机过程桥梁","GBM 和风险中性假设已被提及","random walk;Brownian motion;GBM;discretization;路径依赖和 Ito 结果边界未展开","直接写 Black-Scholes 假设但缺路径模型直觉","不适用","R2","F2","新增不含完整证明的随机过程与离散化实验","P1","F01-001;F01-004;F04-001","random-walk-to-Brownian simulation;GBM paths;Euler error;assumption table","增量分布和尺度可复算;离散误差与 seed 变化报告;明确不推导完整 Ito 证明和不外推真实价格过程","https://ocw.mit.edu/courses/18-642-topics-in-mathematics-with-applications-in-finance-fall-2024/","planned"
"F05-003","固定收益","F05","第 1-3 章;曲线章","现金流;dirty/clean price 和 YTM 已有基础","day-count;business-day adjustment;settlement;accrued interest;compounding convention 未系统参数化","同一债券在不同市场约定下会得到不同价格和收益率但正文像唯一口径","不适用","R1-R2","F2","新增市场约定与日期引擎实验","P1","F02-001;F05-001","calendar/day-count fixtures;settlement cashflows;convention comparison","每个价格和 YTM 声明日计数;频率;结算日;应计;不同约定差异可复算","https://www.quantlib.org/;https://www.icmagroup.org/market-practice-and-regulatory-policy/secondary-markets/bond-market-transparency/","planned"
