"task_id","status","reason","evidence_paths","reviewed_on"
"W0-001","completed","固定 fixture、30-seed pilot 与科研外推的措辞边界已分开；单次表格不再被写成统计显著性证据。","50_项目产出/P01_Mini_Scheduler/04_实验记录/FIFO_vs_Priority_vs_SJF.md;50_项目产出/P01_Mini_Scheduler/06_README草稿.md;60_科研训练/研究项目/RQ01_RAG_Agent请求调度尾延迟/03_实验记录.md","2026-07-18"
"W0-002","completed","金融路线已把结构完整、内容成熟、reference 验证、教学就绪和学习者验证拆开陈述，并与模块状态表逐项对齐。","00_路线总控/金融工程与量化金融支线路线.md;00_路线总控/看板与索引/08_学习模块建设状态表.md","2026-07-18"
"W0-003","completed","状态词典和看板已独立记录内容、实现、reference、教学就绪与学习者验证，不再自动升格。","00_路线总控/看板与索引/08_学习模块建设状态表.md;00_路线总控/审计与整改/00_整改总控.md;00_路线总控/审计与整改/tools/validate_optimization_matrix.py","2026-07-18"
"W0-004","completed","RAG 身份由服务端 Principal 提供，ACL 在候选与打分前约束，伪造身份或权限字段及跨租户访问均有负向测试。","40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/security.py;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/retrieval.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_retrieval.py;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_workflow.py","2026-07-18"
"W0-005","completed","教材与 deterministic runtime 已统一 server-owned principal、审批请求白名单、目标绑定、approval version CAS、不可变审计、过期或重复决策、resume outbox 和 stale-claim fencing；对应 reference 测试已通过。","10_学习模块/M04_Agent工作流/M04_Agent工作流_适配教材.md;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/models.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/repository.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_approval_workflow.py;40_实验练习/E04_Agent实验/e04_runtime_reference/README.md","2026-07-18"
"W0-006","completed","SQLite reference 使用 owner、claim version 和未过期 lease 作为 finalize fencing 条件，并覆盖旧 worker complete/fail 失败路径。","40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/e06_reference/database.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/tests/test_outbox.py","2026-07-18"
"W0-007","completed","P03 队列使用 Redis Streams consumer group，pending 消息可 XAUTOCLAIM 回收，只有数据库终态成功后才 ACK 和删除。","50_项目产出/P03_AI_Workload_Platform/p03_service/app/redis_queue.py;50_项目产出/P03_AI_Workload_Platform/p03_service/app/worker_service.py;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_redis_queue.py","2026-07-18"
"W0-008","completed","M06、E06 与 P03 已统一 outbox 状态先行、错误分类、owner/version/lease 转换和授权缓存维度契约。","10_学习模块/M06_数据库缓存与异步任务/M06_数据库缓存与异步任务_适配教材.md;40_实验练习/E06_数据库异步任务实验/E06-02 文档解析与 RAG 请求异步化.md;40_实验练习/E06_数据库异步任务实验/E06-03 embedding 与检索结果缓存实验.md;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_workflow.py","2026-07-18"
"W0-009","completed","发布范围已降级为推理 workload 与指标导论；合成 simulator、真实 vLLM 和 Triton 三者的证据边界明确。","10_学习模块/M10_AI推理系统_vLLM_Triton/M10_AI推理系统_vLLM_Triton_适配教材.md;10_学习模块/M10_AI推理系统_vLLM_Triton/M10_AI推理系统_vLLM_Triton_学习地图.md;40_实验练习/E10_推理服务实验/E10_推理服务实验_索引.md","2026-07-18"
"W0-010","completed","20 项路线承诺已逐项映射到首次教学位置、内容类型、证据、发布声明和缺口动作；design-note 不计作当前覆盖。","00_路线总控/审计与整改/13_路线承诺与首次教学覆盖矩阵.csv","2026-07-18"
"PED-007","in-progress","M05 已完成 13 章拆分并建立答案或结果索引，但全库其他长章、锚点迁移和独立答案隔离仍未完成。","10_学习模块/M05_任务队列与调度/M05_任务队列与调度_学习地图.md;10_学习模块/M05_任务队列与调度/M05_参考答案与结果索引.md;00_路线总控/审计与整改/artifacts/m05_split_2026-07-11/README.md","2026-07-18"
"PED-011","in-progress","provenance/license 台账和校验器已建立；Obsidian 插件许可已核验，但其余 32 项仍为 review-required，仓库根许可仍未选择。","00_路线总控/审计与整改/artifacts/governance/provenance_license_ledger.csv;00_路线总控/审计与整改/tools/validate_provenance_ledger.py;00_路线总控/审计与整改/artifacts/governance/README.md;.obsidian/plugins/obsidian-local-rest-api/LICENSE","2026-07-18"
"PED-012","in-progress","版本 manifest、时效阈值和校验器已落地，但缺明确 owner；Pydantic 仍待复核，vLLM/Triton 仍为 blocked 或 design-only。","00_路线总控/审计与整改/artifacts/governance/version_manifest.json;00_路线总控/审计与整改/artifacts/governance/version_resolution_2026-07-18.json;00_路线总控/审计与整改/tools/validate_version_manifest.py","2026-07-18"
"M00-001","completed","教材与 E00 reference 已形成 PID/PPID、退出码、允许名单环境变量、SIGTERM 清理、权限失败和超时子进程有界回收闭环；Windows 与 POSIX 信号证据边界有明确说明。","10_学习模块/M00_工具链与计算机基础/M00_工具链与计算机基础_适配教材.md;40_实验练习/E00_工具链基础实验/os_network_reference/service_worker.py;40_实验练习/E00_工具链基础实验/os_network_reference/diagnostics.py;40_实验练习/E00_工具链基础实验/os_network_reference/tests/test_diagnostics.py","2026-07-18"
"M00-002","completed","E00 reference 用单变量 fixture 区分 DNS、TCP、TLS 和 HTTP 失败，并断言失败后不进入后续层；教材明确 4xx/5xx 不等于网络不可达及 MockTransport 的证据边界。","10_学习模块/M00_工具链与计算机基础/M00_工具链与计算机基础_适配教材.md;40_实验练习/E00_工具链基础实验/os_network_reference/diagnostics.py;40_实验练习/E00_工具链基础实验/os_network_reference/tests/test_diagnostics.py;40_实验练习/E00_工具链基础实验/os_network_reference/README.md","2026-07-18"
"M01-003","completed","教材和 E01 reference 已覆盖 thread/process/asyncio 选择、event-loop blocking 反例、取消与 timeout，并用 finally 与测试验证资源释放；结果不外推为生产负载基准。","10_学习模块/M01_Python工程能力/M01_Python工程能力_适配教材.md;40_实验练习/E01_Python基础练习/E01-04 并发选择与取消.md;40_实验练习/E01_Python基础练习/concurrency_reference/concurrency_lab.py;40_实验练习/E01_Python基础练习/concurrency_reference/tests/test_concurrency_lab.py","2026-07-18"
"M02-001","completed","FastAPI reference 通过 middleware、ContextVar、DI container、service/repository 分层和结构化错误，将同一 request_id 贯穿入口、安全、业务、存储、日志和错误响应；隔离 repository fixture 有测试。","10_学习模块/M02_后端API与服务化/M02_后端API与服务化_适配教材.md;40_实验练习/E02_后端API实验/e02_service/app/context.py;40_实验练习/E02_后端API实验/e02_service/app/dependencies.py;40_实验练习/E02_后端API实验/e02_service/app/service.py;40_实验练习/E02_后端API实验/e02_service/tests/test_lifecycle_reliability.py","2026-07-18"
"M02-002","completed","server-owned Principal、tenant/owner-scoped repository、404 隐藏策略及拒绝客户端身份字段均已实现；同租户跨 owner、跨 tenant 的读取、列表、metrics、mutation、幂等键和日志隔离有负向测试。","40_实验练习/E02_后端API实验/e02_service/app/security.py;40_实验练习/E02_后端API实验/e02_service/app/repository.py;40_实验练习/E02_后端API实验/e02_service/tests/test_api.py;40_实验练习/E02_后端API实验/e02_service/tests/test_lifecycle_reliability.py","2026-07-18"
"M02-003","completed","reference 已实现自包含 RFC 9457 风格错误 schema、稳定 cursor pagination、显式 429 retry、依赖 readiness 与池耗尽恢复；OpenAPI 本地引用由递归测试验证可解析。","40_实验练习/E02_后端API实验/e02_service/app/errors.py;40_实验练习/E02_后端API实验/e02_service/app/rate_limit.py;40_实验练习/E02_后端API实验/e02_service/app/main.py;40_实验练习/E02_后端API实验/e02_service/tests/test_lifecycle_reliability.py;40_实验练习/E02_后端API实验/e02_service/tests/test_openapi.py","2026-07-18"
"M02-004","completed","deadline 在 create/update commit 前到期均不产生幽灵写入；幂等 create 的重放、冲突、并发只提交一次及 tenant/owner scope 有测试，并发更新使用 version CAS 防止丢失更新。","40_实验练习/E02_后端API实验/e02_service/app/service.py;40_实验练习/E02_后端API实验/e02_service/app/repository.py;40_实验练习/E02_后端API实验/e02_service/tests/test_lifecycle_reliability.py","2026-07-18"
"M03-001","completed","固定黄金集已在 lexical、固定语义特征 vector 与最小 RRF hybrid 上统一运行，保存逐 query 原始排名并计算 Recall@k、MRR、nDCG；RRF 可复算且失败分类有确定性测试。","10_学习模块/M03_RAG工程/M03_RAG工程_适配教材.md;40_实验练习/E03_RAG实验/e03_rag_reference/tests/fixtures/golden_queries.json;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/evaluation.py;40_实验练习/E03_RAG实验/e03_rag_reference/examples/run_evaluation.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_evaluation_closure.py","2026-07-18"
"M03-002","in-progress","文本 ingestion failure matrix、版本、retention、tombstone、删除后缓存失效和拒绝旧版本复活已有 reference 测试；仍缺 PDF、Office、OCR、表格等多格式 fixture 与解析质量报告，不能升格 completed。","10_学习模块/M03_RAG工程/M03_RAG工程_适配教材.md;40_实验练习/E03_RAG实验/e03_rag_reference/tests/fixtures/ingestion_failure_matrix.json;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/lifecycle.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_ingestion_lifecycle.py","2026-07-18"
"M03-003","in-progress","检索报告已能区分数据缺失、ACL 截断、partial recall 等检索失败，prompt 结构和引用字段已有基础；仍缺 answer rubric、拒答集和逐引用 entailment 核对 artifact。","10_学习模块/M03_RAG工程/M03_RAG工程_适配教材.md;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/evaluation.py;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/prompting.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_evaluation_closure.py","2026-07-18"
"M03-004","in-progress","可信 ingestion、untrusted context 结构、对抗 corpus、ACL/cache、删除生命周期与脱敏审计已有 Mock/reference 测试；尚无真实模型 generation 抗间接注入证据，且 M03-002 多格式解析前置未闭环。","40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/ingestion.py;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/prompting.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/fixtures/adversarial_corpus.json;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_adversarial_controls.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_threat_boundaries.py","2026-07-18"
"M04-001","completed","76 项 deterministic reference 测试覆盖 strict tool schema、有限循环、step log、session isolation、显式 cancel、失败或 timeout 审计及取消与副作用竞态；这只验收单进程无模型无网络 reference，不代表生产 Runtime。","40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/models.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/runtime.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/repository.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_contracts_and_tools.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_sessions_and_audit.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_cancellation_and_injection.py","2026-07-18"
"M04-002","completed","capability/resource 在 handler 前授权，egress 与 path 默认拒绝；exact-origin URL、SSRF parser confusion、路径遍历和 symlink escape 负测已覆盖，不可信检索/tool output 不能扩大 plan 或 capability，敏感 trace 按允许字段记录。","40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/security.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/tools.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/audit.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_target_security.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_cancellation_and_injection.py","2026-07-18"
"M04-003","in-progress","repository 已采用 versioned transition、审批 CAS、outbox/claim 和迟到 finalize 约束，取消与副作用共享 fence；尚缺完整 reducer/checkpoint/replay、乱序和重复事件、跨进程恢复验收。","40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/repository.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/runtime.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_approval_workflow.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_cancellation_and_injection.py","2026-07-18"
"M06-001","completed","教材先修与 E06 reference 已覆盖数据库 constraint、原子 migration、关键 claim 查询索引计划和有界 SQLite 锁冲突；独立 PostgreSQL 17.9 artifact 记录一个 40P01 victim、一个 commit、victim 回滚及最终行，未外推为生产拓扑。","10_学习模块/M06_数据库缓存与异步任务/M06_数据库缓存与异步任务_适配教材.md;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/e06_reference/database.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/tests/test_database_foundations.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/examples/postgres_deadlock_demo.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/artifacts/postgres_deadlock_reference_2026-07-18.json","2026-07-18"
"M06-002","completed","教材与 executable reference 已从 receive/effect/finalize/ACK crash point 推导 at-most-once、at-least-once 和 effectively-once，覆盖 timeout、重复、乱序、partition、fencing、有限指数退避和 deterministic jitter；明确不承诺无法证明的 exactly-once。","10_学习模块/M06_数据库缓存与异步任务/M06_数据库缓存与异步任务_适配教材.md;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/e06_reference/reliability.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/tests/test_reliability.py","2026-07-18"
"M06-003","completed","E06/P03 已实现 owner/version/未过期 lease fencing、受限恢复或重试和可审计状态事件；stale owner、过期 heartbeat、迟到 finalize 与额外 outbox 均有负向测试，且 M06-001/002 教学前置已闭环。","10_学习模块/M06_数据库缓存与异步任务/M06_数据库缓存与异步任务_适配教材.md;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/e06_reference/database.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/e06_reference/reliability.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/tests/test_outbox.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/tests/test_reliability.py;50_项目产出/P03_AI_Workload_Platform/p03_service/app/postgres_store.py","2026-07-18"
"M06-005","in-progress","E06 页面已明确 database-only 与 P03 end-to-end 的范围，P03 有跨进程 worker fixture；E06 自身 FastAPI 集成层和前置 M06-004 缓存 reference 仍缺。","40_实验练习/E06_数据库异步任务实验/E06_数据库异步任务实验_索引.md;40_实验练习/E06_数据库异步任务实验/E06-02 文档解析与 RAG 请求异步化.md;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_workflow.py","2026-07-18"
"M10-004","blocked","当前 Windows 仓库没有可用的 Linux/WSL、兼容 GPU/驱动、固定模型 revision 和真实 vLLM benchmark 证据，实验页明确保持 blocked/unverified。","40_实验练习/E10_推理服务实验/E10-03 vLLM 最小服务实验.md;40_实验练习/E10_推理服务实验/E10_推理服务实验_索引.md;00_路线总控/审计与整改/artifacts/governance/version_manifest.json","2026-07-18"
"M10-005","blocked","仓库没有 NVIDIA Triton model repository、dynamic batching、metrics 或执行环境；当前只保留 design-note，不能标实验完成。","10_学习模块/M10_AI推理系统_vLLM_Triton/M10_AI推理系统_vLLM_Triton_适配教材.md;40_实验练习/E10_推理服务实验/E10_推理服务实验_索引.md;00_路线总控/审计与整改/artifacts/governance/version_manifest.json","2026-07-18"
"PLAN-001","completed","110 行矩阵校验器已检查固定 schema、ID、DAG、循环、排期倒挂、完成前置和状态证据，并已接入统一验证入口。","00_路线总控/审计与整改/tools/validate_optimization_matrix.py;00_路线总控/审计与整改/tools/run_full_validation.ps1;00_路线总控/审计与整改/artifacts/governance/README.md","2026-07-18"
