asset_id,asset_class,scope,origin_or_source,version_or_revision,license_or_terms,modification_status,redistribution_decision,evidence_paths,last_reviewed,review_status,notes
OWN-TEXT-001,authored-content,"Repository Markdown curriculum and governance prose",repository-local,current worktree,unknown,modified,review-required,"00_路线总控/审计与整改/06_教材教学有效性与工具复核报告_2026-07-11.md",2026-07-18,review-required,"No root LICENSE/COPYING/NOTICE is present; repository ownership and release license require owner decision."
OWN-CODE-001,reference-code,"Repository Python PowerShell SQL YAML and container reference code",repository-local,current worktree,unknown,modified,review-required,"00_路线总控/审计与整改/06_教材教学有效性与工具复核报告_2026-07-11.md",2026-07-18,review-required,"Reference code is locally maintained but no repository code license has been selected."
OWN-DATA-001,data-or-fixture,"Synthetic tests fixtures and small generated CSV inputs",repository-local,current worktree,unknown,modified,review-required,"40_实验练习/E03_RAG实验/E03-01 chunk 大小对检索效果的影响.md",2026-07-18,review-required,"Fixtures described as synthetic still require an explicit repository data license before redistribution approval."
EXT-DOC-001,external-material,"Canonical official documentation and papers linked from module resource indexes","20_资料库/模块资料索引",reviewed links,unknown,not-vendored,link-only-review-required-for-excerpts,"00_路线总控/审计与整改/06_教材教学有效性与工具复核报告_2026-07-11.md",2026-07-18,review-required,"A reachable URL is not a copying license; this row covers links only and does not approve copied excerpts or media."
EXT-JD-001,external-material,"BOSS job-posting capability summary used for curriculum calibration","BOSS 直聘截图；2026-06-30；金融代码复合标注员",dated screenshot locator,unknown,summarized-not-vendored,source-summary-review-required,"80_就业市场与简历/岗位拆解/2026-06-30_金融代码复合标注员_JD拆解.md",2026-07-18,review-required,"The repository publishes a concise capability summary and analysis, not the screenshot or a complete verbatim job description."
EXT-RUBRIC-001,external-material,"Private rubric exercise source used only for an authored abstract learning map","User-provided local rubric exercise sheet","private source; revision unknown",unknown,summarized-not-vendored,source-prohibited-derived-summary-only,"00_路线总控/Agent代码Rubric试标题目分析与学习映射.md",2026-07-18,review-required,"The original file, online document, and access-controlled links are excluded from the repository and must not be redistributed; only an independently authored abstraction is published."
EXT-CASE-001,external-material,"Private real-project case study summarized for architecture comparison","User-provided private real engineering case","undated private source; revision unknown",unknown,summarized-not-vendored,source-prohibited-derived-summary-only,"50_项目产出/案例参照/脱敏合规AI案例_工程参照分析.md",2026-07-18,review-required,"Original project code, repository, paths, test outputs, configs, and internal identifiers are excluded; only an independently authored generalized comparison is published."
GEN-AUDIT-001,generated-artifact,"00_路线总控/审计与整改/artifacts content and structure audit outputs",repository-local,generated 2026-07,unknown,generated,review-required,"00_路线总控/审计与整改/artifacts/official_docs_content_audit_2026-07-12/README.md",2026-07-18,review-required,"Generated reports may contain locators excerpts or tool output; review input and tool terms before redistribution."
GEN-RESEARCH-001,generated-artifact,"60_科研训练 generated experiment outputs and source snapshots",repository-local,current worktree,unknown,generated,review-required,"60_科研训练/研究项目/RQ01_RAG_Agent请求调度尾延迟/artifacts/rq01_e2_pilot_20260711/README.md;60_科研训练/研究项目/RQ01_RAG_Agent请求调度尾延迟/artifacts/rq01_e2_pilot_20260711/checksums.sha256",2026-07-18,review-required,"Research artifacts need per-input provenance and an owner-selected data/code license; directory existence is inventory evidence only."
DEP-FASTAPI,dependency,"E02 and P03 Python environments",https://github.com/fastapi/fastapi,0.116.1,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E02_后端API实验/e02_service/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-PYDANTIC,dependency,"Direct E04 dependency and FastAPI transitive dependency in E02/P03",https://github.com/pydantic/pydantic,2.13.4,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E04_Agent实验/e04_runtime_reference/pyproject.toml;00_路线总控/审计与整改/artifacts/governance/version_resolution_2026-07-18.json",2026-07-18,review-required,"E04 pins 2.13.4; a repository-wide support range and license evidence still require review."
DEP-HTTPX,dependency,"E02 and P03 test environments",https://github.com/encode/httpx,0.28.1,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E02_后端API实验/e02_service/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-PYTEST,dependency,"All executable reference test environments",https://github.com/pytest-dev/pytest,"8.4.2; P01 >=8.4,<9",unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/pyproject.toml;50_项目产出/P01_Mini_Scheduler/mini_scheduler/pyproject.toml",2026-07-18,review-required,"Version boundaries differ and license evidence is not yet captured locally."
DEP-REDIS-PY,dependency,"P03 Redis client",https://github.com/redis/redis-py,8.0.1,unknown,not-vendored,dependency-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/pyproject.toml",2026-07-18,review-required,"Client and server are tracked separately."
DEP-PSYCOPG,dependency,"P03 PostgreSQL client and binary distribution",https://github.com/psycopg/psycopg,3.3.4,unknown,not-vendored,dependency-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/pyproject.toml",2026-07-18,review-required,"Both psycopg and psycopg-binary are pinned; package license evidence is not stored locally."
DEP-RANK-BM25,dependency,"E03 and P03 deterministic retrieval reference",https://github.com/dorianbrown/rank_bm25,0.2.2,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E03_RAG实验/e03_rag_reference/pyproject.toml",2026-07-18,review-required,"Package source and license must be verified before redistribution beyond dependency metadata."
DEP-UVICORN,dependency,"E02 and P03 ASGI runtime",https://github.com/encode/uvicorn,0.35.0,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/E02_后端API实验/e02_service/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-LOCUST,dependency,"P03 load-test development dependency",https://github.com/locustio/locust,2.45.0,unknown,not-vendored,dependency-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-PANDAS,dependency,"Finance reference",https://github.com/pandas-dev/pandas,2.3.3,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/GF10_金融工程全阶段实验候选/finance_reference/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-SKLEARN,dependency,"Finance reference tests",https://github.com/scikit-learn/scikit-learn,1.9.0,unknown,not-vendored,dependency-reference-only-review-required,"40_实验练习/GF10_金融工程全阶段实验候选/finance_reference/pyproject.toml",2026-07-18,review-required,"Version is pinned; license has not been verified into repository evidence."
DEP-POSTGRES-IMAGE,dependency,"P03 Compose and kind database image",https://hub.docker.com/_/postgres,17.5-alpine-digest-pinned,unknown,not-vendored,container-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/compose.yaml",2026-07-18,review-required,"Image digest is pinned; image and bundled component terms require separate review."
DEP-REDIS-IMAGE,dependency,"P03 Compose and kind queue image",https://hub.docker.com/_/redis,8.0.3-alpine-digest-pinned,unknown,not-vendored,container-reference-only-review-required,"50_项目产出/P03_AI_Workload_Platform/p03_service/compose.yaml",2026-07-18,review-required,"Image digest is pinned; image and bundled component terms require separate review."
DEP-KIND-NODE,dependency,"E09 disposable Kubernetes node image",https://hub.docker.com/r/kindest/node,1.34.8-digest-pinned,unknown,not-vendored,container-reference-only-review-required,"40_实验练习/E09_K8s实验/kind_reference/README.md",2026-07-18,review-required,"Image digest is pinned; image composition and redistribution terms are not asserted."
TOOL-MARKDOWNLINT,tool,"Markdown structural audit",https://github.com/DavidAnson/markdownlint-cli2,0.23.0,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/run_content_quality_audit.ps1",2026-07-18,review-required,"Invoked through npx; license evidence has not been copied into this repository."
TOOL-ZHLINT,tool,"Chinese prose formatting audit",https://github.com/zhlint-project/zhlint,0.8.2,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/run_content_quality_audit.ps1",2026-07-18,review-required,"Invoked through npx; results are advisory."
TOOL-VALE,tool,"Prose style audit",https://github.com/errata-ai/vale,3.15.1,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies archive hash; license terms still need evidence before redistribution."
TOOL-LYCHEE,tool,"External link audit",https://github.com/lycheeverse/lychee,0.24.2,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies archive hash; license terms still need evidence before redistribution."
TOOL-CODESPELL,tool,"Spelling audit",https://github.com/codespell-project/codespell,2.4.2,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies wheel hash; license terms still need evidence before redistribution."
TOOL-GITLEAKS,tool,"Tracked-history private-key scan",https://github.com/gitleaks/gitleaks,8.30.1,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/install_open_source_checkers.ps1",2026-07-18,review-required,"Installer verifies archive hash; current scan scope is not a complete secret-class guarantee."
TOOL-JSCPD,tool,"Textbook duplication candidate scan",https://github.com/kucherenko/jscpd,5.0.12,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/run_content_quality_audit.ps1",2026-07-18,review-required,"Invoked through npx; duplicate groups require human review."
TOOL-MERMAID,tool,"Mermaid render validation",https://github.com/mermaid-js/mermaid-cli,11.16.0,unknown,not-vendored,tool-reference-only-review-required,"00_路线总控/审计与整改/tools/content_quality/validate_mermaid.ps1",2026-07-18,review-required,"Invoked through npx; rendering does not establish diagram accessibility."
TOOL-KIND,tool,"Disposable Kubernetes cluster creation",https://github.com/kubernetes-sigs/kind,0.32.0,unknown,locally-downloaded-not-vendored,tool-reference-only-review-required,"40_实验练习/E09_K8s实验/kind_reference/scripts/install_kind.ps1",2026-07-18,review-required,"Installer verifies binary hash; license evidence has not been copied into this repository."
VENDOR-OBSIDIAN-REST-001,dependency,"Vendored Obsidian Local REST API plugin bundle",https://github.com/coddingtonbear/obsidian-local-rest-api,4.1.3,MIT,vendored-build,approved,".obsidian/plugins/obsidian-local-rest-api/manifest.json;.obsidian/plugins/obsidian-local-rest-api/LICENSE",2026-07-18,verified,"Upstream MIT license and copyright notice are preserved beside the tracked bundle. Runtime data.json files remain ignored and are not redistribution assets."
