prediction_error,strategy,baseline,metric,seed_count,mean_delta,median_delta,mean_relative_change,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
exact,oracle_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-26.209220339930578,-13.427907271195954,-17.22016110186409,-10.89817767464132
exact,oracle_sjf,fifo,p95_wait_time,30,-37.64106899025166,-33.27094980056165,-0.5697816618779377,-46.14038025653219,-29.832826060839913,-43.45454933132473,-25.276928600433166
exact,oracle_sjf,fifo,p99_wait_time,30,25.391791559576863,2.3832198527759942,0.17773520179479518,3.7704715157028934,53.27371443911378,-7.569718277969457,13.230700854937481
exact,oracle_sjf,fifo,p99_slowdown,30,-148.37719227104097,-115.64352597282362,-0.7571335541579383,-185.99260976956796,-114.9762282231023,-156.42264518621135,-85.0461649267384
exact,oracle_sjf,fifo,slo_violation_rate,30,-0.4404,-0.421,-0.7063193345844023,-0.4937333333333333,-0.384,-0.495,-0.365
exact,oracle_sjf,fifo,long_p99_wait_time,30,236.25600208833617,168.6631485360324,2.77318082242895,162.30781520147528,329.24228252103603,112.9888448744747,221.6515960527064
exact,oracle_sjf,fifo,long_p99_slowdown,30,-1.2491099804372885,-2.275993244141087,-0.05693140018393284,-4.183450213953281,1.8891227631722824,-5.141286750652657,0.6980861283963584
exact,predicted_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-26.020086139325297,-13.476740737793772,-17.22016110186409,-10.653064379494392
exact,predicted_sjf,fifo,p95_wait_time,30,-37.64106899025166,-33.27094980056165,-0.5697816618779377,-45.703928972360664,-30.12815760150336,-43.45454933132473,-25.276928600433166
exact,predicted_sjf,fifo,p99_wait_time,30,25.391791559576863,2.3832198527759942,0.17773520179479518,3.391501857969596,52.25829185739964,-7.569718277969457,13.230700854937481
exact,predicted_sjf,fifo,p99_slowdown,30,-148.37719227104097,-115.64352597282362,-0.7571335541579383,-186.0811277723198,-114.67586049626193,-156.42264518621135,-85.0461649267384
exact,predicted_sjf,fifo,slo_violation_rate,30,-0.4404,-0.421,-0.7063193345844023,-0.49213333333333337,-0.38733333333333336,-0.495,-0.367
exact,predicted_sjf,fifo,long_p99_wait_time,30,236.25600208833617,168.6631485360324,2.77318082242895,163.66129650335685,323.5889004587922,112.9888448744747,221.6515960527064
exact,predicted_sjf,fifo,long_p99_slowdown,30,-1.2491099804372885,-2.275993244141087,-0.05693140018393284,-4.099555810716778,1.8661845899655094,-5.141286750652657,0.6980861283963584
high,oracle_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-25.883011669834058,-13.472238432565298,-17.22016110186409,-10.524186871875703
high,oracle_sjf,fifo,p95_wait_time,30,-37.64106899025166,-33.27094980056165,-0.5697816618779377,-45.94401005098143,-29.793406745421752,-43.45454933132473,-25.276928600433166
high,oracle_sjf,fifo,p99_wait_time,30,25.391791559576863,2.3832198527759942,0.17773520179479518,3.6494450863380035,51.15373739888493,-7.569718277969457,13.230700854937481
high,oracle_sjf,fifo,p99_slowdown,30,-148.37719227104097,-115.64352597282362,-0.7571335541579383,-184.61309642104573,-115.98922782747633,-156.42264518621135,-85.0461649267384
high,oracle_sjf,fifo,slo_violation_rate,30,-0.4404,-0.421,-0.7063193345844023,-0.49426666666666663,-0.38826666666666665,-0.495,-0.367
high,oracle_sjf,fifo,long_p99_wait_time,30,236.25600208833617,168.6631485360324,2.77318082242895,161.62849373624414,323.6621781651753,112.9888448744747,221.6515960527064
high,oracle_sjf,fifo,long_p99_slowdown,30,-1.2491099804372885,-2.275993244141087,-0.05693140018393284,-4.091905533564948,1.7681631392285913,-5.141286750652657,0.6980861283963584
high,predicted_sjf,fifo,average_wait_time,30,-17.501896580880498,-11.082444122334469,-0.5964210478680578,-23.830661062641134,-12.365214565869472,-16.462244210697722,-9.786356234116072
high,predicted_sjf,fifo,p95_wait_time,30,-31.154716180268768,-28.943085462939337,-0.472433886048552,-38.17813349705269,-24.697549822240774,-38.760566980167255,-19.819654480633062
high,predicted_sjf,fifo,p99_wait_time,30,52.15191966320955,15.577017903349827,0.5142943193274616,24.347790487902476,85.3374396015038,7.5896435484189055,43.123554420139726
high,predicted_sjf,fifo,p99_slowdown,30,-140.4846757252602,-112.52492997250596,-0.7140148942331022,-177.5535244133535,-108.80148209368949,-147.36164053585384,-81.24455181204078
high,predicted_sjf,fifo,slo_violation_rate,30,-0.4191333333333333,-0.40900000000000003,-0.6714357411091952,-0.47113333333333335,-0.36819999999999997,-0.47100000000000003,-0.35400000000000004
high,predicted_sjf,fifo,long_p99_wait_time,30,295.30391400755906,238.713595102254,3.527911789348858,209.50915855379657,396.75263308222185,150.01262185272418,285.2890835264116
high,predicted_sjf,fifo,long_p99_slowdown,30,17.347268317884033,10.426705752436032,0.8309091294823272,10.382972149643045,25.271037807037082,6.661418067125193,21.178777258207255
low,oracle_sjf,fifo,average_wait_time,30,-19.14973650993286,-12.343259565548422,-0.6553366949607127,-25.937386015439227,-13.536622960494197,-17.22016110186409,-10.89817767464132
low,oracle_sjf,fifo,p95_wait_time,30,-37.64106899025166,-33.27094980056165,-0.5697816618779377,-46.230063555845454,-30.334238941406177,-43.45454933132473,-25.276928600433166
low,oracle_sjf,fifo,p99_wait_time,30,25.391791559576863,2.3832198527759942,0.17773520179479518,3.302003134992883,53.199270859573694,-7.569718277969457,13.230700854937481
low,oracle_sjf,fifo,p99_slowdown,30,-148.37719227104097,-115.64352597282362,-0.7571335541579383,-185.90921507832397,-115.03330890070787,-156.42264518621135,-85.0461649267384
low,oracle_sjf,fifo,slo_violation_rate,30,-0.4404,-0.421,-0.7063193345844023,-0.49333333333333335,-0.38766666666666666,-0.495,-0.367
low,oracle_sjf,fifo,long_p99_wait_time,30,236.25600208833617,168.6631485360324,2.77318082242895,161.6186718840414,327.0574189592781,112.9888448744747,221.6515960527064
low,oracle_sjf,fifo,long_p99_slowdown,30,-1.2491099804372885,-2.275993244141087,-0.05693140018393284,-4.145849711763253,1.8550174378201012,-5.141286750652657,0.6980861283963584
low,predicted_sjf,fifo,average_wait_time,30,-18.661704219034554,-12.13713319529576,-0.6400191785296221,-25.25498255807857,-13.05421252771511,-17.04756776749082,-10.638023237616263
low,predicted_sjf,fifo,p95_wait_time,30,-36.88881073277519,-32.30397316978353,-0.5552542577748144,-45.636838103573,-29.060132387008878,-42.98034883325147,-23.371944364441603
low,predicted_sjf,fifo,p99_wait_time,30,30.663818257923527,8.138154548452917,0.2535963767223177,7.311802895394211,63.40014442501931,-3.5561833958381044,27.962641605738497
low,predicted_sjf,fifo,p99_slowdown,30,-147.3289783102764,-116.28368836801619,-0.750906506834238,-185.10520332925336,-114.75632145203873,-155.1810581450585,-83.50780313257964
low,predicted_sjf,fifo,slo_violation_rate,30,-0.43526666666666664,-0.424,-0.6986592051796351,-0.4884,-0.38373333333333337,-0.48800000000000004,-0.366
low,predicted_sjf,fifo,long_p99_wait_time,30,274.45675979435265,203.39635100720085,3.1934350155577915,190.95789229157694,374.161572823608,130.3639895571177,263.06692100007757
low,predicted_sjf,fifo,long_p99_slowdown,30,6.842307546759882,1.833708606137637,0.3381904468483495,2.3073446770401254,12.04807343215986,0.293934575757552,7.575404340171504
